,date,shop,brand,container,quantity,capacity,sales
44,2012-01-31,shop_6,lemon-boost,can,17127,330ml,11581.81
45,2012-01-31,shop_4,kinder-cola,glass,11406,500ml,15906.24
46,2012-01-31,shop_4,kinder-cola,plastic,11306,1.5lt,31603.48
47,2012-01-31,shop_4,kinder-cola,can,16018,330ml,12623.65
48,2012-01-31,shop_4,adult-cola,glass,20401,500ml,21410.01
49,2012-01-31,shop_4,adult-cola,plastic,12674,1.5lt,37936.69
50,2012-01-31,shop_4,adult-cola,can,30194,330ml,14831.65
51,2012-01-31,shop_4,orange-power,glass,23346,500ml,22464.38
52,2012-01-31,shop_4,orange-power,plastic,12835,1.5lt,27603.36
53,2012-01-31,shop_4,orange-power,can,40722,330ml,16569.36
54,2012-01-31,shop_4,gazoza,glass,39056,500ml,21971.76
55,2012-01-31,shop_4,gazoza,plastic,42833,1.5lt,30576.57
56,2012-01-31,shop_4,gazoza,can,48918,330ml,13878.14
57,2012-01-31,shop_4,lemon-boost,glass,27727,500ml,22870.92
58,2012-01-31,shop_4,lemon-boost,plastic,16352,1.5lt,25434.04
59,2012-01-31,shop_4,lemon-boost,can,13970,330ml,9527.24
60,2012-01-31,shop_3,kinder-cola,glass,5089,500ml,7992.41
61,2012-01-31,shop_3,kinder-cola,plastic,5630,1.5lt,18093.65
62,2012-01-31,shop_3,kinder-cola,can,5891,330ml,5304.65
63,2012-01-31,shop_3,adult-cola,glass,12339,500ml,13960.12
64,2012-01-31,shop_3,adult-cola,plastic,9720,1.5lt,23887.8
65,2012-01-31,shop_3,adult-cola,can,12035,330ml,8591.71
66,2012-01-31,shop_3,orange-power,glass,17298,500ml,14353.87
67,2012-01-31,shop_3,orange-power,plastic,10483,1.5lt,19204.98
68,2012-01-31,shop_3,orange-power,can,16545,330ml,8714.33
69,2012-01-31,shop_3,gazoza,glass,35931,500ml,13826.77
70,2012-01-31,shop_3,gazoza,plastic,14480,1.5lt,16762.56
71,2012-01-31,shop_3,gazoza,can,19886,330ml,6559.99
72,2012-01-31,shop_3,lemon-boost,glass,14309,500ml,12402.06
73,2012-01-31,shop_3,lemon-boost,plastic,8868,1.5lt,17650.76
74,2012-01-31,shop_3,lemon-boost,can,21997,330ml,7216.32
90,2012-02-29,shop_1,kinder-cola,glass,10799,500ml,10354.1
91,2012-02-29,shop_1,kinder-cola,plastic,7114,1.5lt,20604.34
92,2012-02-29,shop_1,kinder-cola,can,8616,330ml,7066.81
93,2012-02-29,shop_1,adult-cola,glass,8324,500ml,10862.59
94,2012-02-29,shop_1,adult-cola,plastic,8954,1.5lt,23950.54
95,2012-02-29,shop_1,adult-cola,can,29463,330ml,11633.42
96,2012-02-29,shop_1,orange-power,glass,16695,500ml,14447.03
97,2012-02-29,shop_1,orange-power,plastic,5777,1.5lt,14490.26
98,2012-02-29,shop_1,orange-power,can,30933,330ml,11061.88
99,2012-02-29,shop_1,gazoza,glass,11362,500ml,8286.06
100,2012-02-29,shop_1,gazoza,plastic,7946,1.5lt,10692.12
101,2012-02-29,shop_1,gazoza,can,41963,330ml,9486.9
102,2012-02-29,shop_1,lemon-boost,glass,17446,500ml,12199.01
103,2012-02-29,shop_1,lemon-boost,plastic,7515,1.5lt,16267.61
104,2012-02-29,shop_1,lemon-boost,can,16815,330ml,9401.65
105,2012-02-29,shop_2,kinder-cola,glass,10413,500ml,13044.52
106,2012-02-29,shop_2,kinder-cola,plastic,9527,1.5lt,22313.71
107,2012-02-29,shop_2,kinder-cola,can,7156,330ml,6375.78
108,2012-02-29,shop_2,adult-cola,glass,15140,500ml,15421.11
109,2012-02-29,shop_2,adult-cola,plastic,12356,1.5lt,19848.86
110,2012-02-29,shop_2,adult-cola,can,17989,330ml,12107.37
111,2012-02-29,shop_2,orange-power,glass,24366,500ml,12310.3
112,2012-02-29,shop_2,orange-power,plastic,13305,1.5lt,26080.64
113,2012-02-29,shop_2,orange-power,can,33120,330ml,14666.93
114,2012-02-29,shop_2,gazoza,glass,27468,500ml,16169.56
115,2012-02-29,shop_2,gazoza,plastic,21164,1.5lt,23680.57
116,2012-02-29,shop_2,gazoza,can,47555,330ml,10600.99
117,2012-02-29,shop_2,lemon-boost,glass,18764,500ml,13316.79
118,2012-02-29,shop_2,lemon-boost,plastic,10790,1.5lt,18041.71
119,2012-02-29,shop_2,lemon-boost,can,11939,330ml,7991.19
120,2012-02-29,shop_6,kinder-cola,glass,14558,500ml,18892.78
121,2012-02-29,shop_6,kinder-cola,plastic,9343,1.5lt,29637.52
122,2012-02-29,shop_6,kinder-cola,can,13663,330ml,10124.72
123,2012-02-29,shop_6,adult-cola,glass,14052,500ml,18193.15
124,2012-02-29,shop_6,adult-cola,plastic,6510,1.5lt,23657.2
125,2012-02-29,shop_6,adult-cola,can,23189,330ml,16642.06
126,2012-02-29,shop_6,orange-power,glass,33467,500ml,26879.14
127,2012-02-29,shop_6,orange-power,plastic,31679,1.5lt,39009.85
128,2012-02-29,shop_6,orange-power,can,65860,330ml,11721.89
129,2012-02-29,shop_6,gazoza,glass,46017,500ml,27615.85
130,2012-02-29,shop_6,gazoza,plastic,39745,1.5lt,21763.63
131,2012-02-29,shop_6,gazoza,can,60087,330ml,16611.04
132,2012-02-29,shop_6,lemon-boost,glass,24260,500ml,20491.9
133,2012-02-29,shop_6,lemon-boost,plastic,16902,1.5lt,28366.09
134,2012-02-29,shop_6,lemon-boost,can,25713,330ml,11922.78
135,2012-02-29,shop_4,kinder-cola,glass,8015,500ml,11556.09
136,2012-02-29,shop_4,kinder-cola,plastic,9418,1.5lt,23634.05
137,2012-02-29,shop_4,kinder-cola,can,15152,330ml,8951.38
138,2012-02-29,shop_4,adult-cola,glass,11993,500ml,14264.33
139,2012-02-29,shop_4,adult-cola,plastic,9196,1.5lt,28994.76
140,2012-02-29,shop_4,adult-cola,can,13290,330ml,10905.54
141,2012-02-29,shop_4,orange-power,glass,20486,500ml,18552.0
142,2012-02-29,shop_4,orange-power,plastic,14801,1.5lt,29993.47
143,2012-02-29,shop_4,orange-power,can,33083,330ml,12813.45
144,2012-02-29,shop_4,gazoza,glass,26542,500ml,16237.36
145,2012-02-29,shop_4,gazoza,plastic,38461,1.5lt,14454.21
146,2012-02-29,shop_4,gazoza,can,41854,330ml,11864.25
147,2012-02-29,shop_4,lemon-boost,glass,18081,500ml,16945.45
148,2012-02-29,shop_4,lemon-boost,plastic,8674,1.5lt,20490.49
149,2012-02-29,shop_4,lemon-boost,can,14972,330ml,9423.98
150,2012-02-29,shop_3,kinder-cola,glass,8191,500ml,9220.08
151,2012-02-29,shop_3,kinder-cola,plastic,4359,1.5lt,12599.61
152,2012-02-29,shop_3,kinder-cola,can,8187,330ml,6058.05
153,2012-02-29,shop_3,adult-cola,glass,6763,500ml,8714.13
154,2012-02-29,shop_3,adult-cola,plastic,6687,1.5lt,21582.4
155,2012-02-29,shop_3,adult-cola,can,21239,330ml,8190.08
156,2012-02-29,shop_3,orange-power,glass,16804,500ml,12984.53
157,2012-02-29,shop_3,orange-power,plastic,6134,1.5lt,14129.09
158,2012-02-29,shop_3,orange-power,can,22035,330ml,8089.53
159,2012-02-29,shop_3,gazoza,glass,24822,500ml,11836.53
160,2012-02-29,shop_3,gazoza,plastic,14749,1.5lt,14479.82
161,2012-02-29,shop_3,gazoza,can,31283,330ml,7315.59
162,2012-02-29,shop_3,lemon-boost,glass,10913,500ml,8051.8
163,2012-02-29,shop_3,lemon-boost,plastic,10071,1.5lt,13788.13
164,2012-02-29,shop_3,lemon-boost,can,8824,330ml,5426.88
180,2012-03-31,shop_1,kinder-cola,glass,12248,500ml,16326.88
181,2012-03-31,shop_1,kinder-cola,plastic,10955,1.5lt,31484.32
182,2012-03-31,shop_1,kinder-cola,can,9656,330ml,8582.56
183,2012-03-31,shop_1,adult-cola,glass,24821,500ml,23522.11
184,2012-03-31,shop_1,adult-cola,plastic,14881,1.5lt,39470.41
185,2012-03-31,shop_1,adult-cola,can,18762,330ml,13257.14
186,2012-03-31,shop_1,orange-power,glass,42741,500ml,25872.31
187,2012-03-31,shop_1,orange-power,plastic,25940,1.5lt,41049.83
188,2012-03-31,shop_1,orange-power,can,59678,330ml,15516.86
189,2012-03-31,shop_1,gazoza,glass,30816,500ml,19970.61
190,2012-03-31,shop_1,gazoza,plastic,31097,1.5lt,29021.4
191,2012-03-31,shop_1,gazoza,can,67246,330ml,13778.31
192,2012-03-31,shop_1,lemon-boost,glass,22825,500ml,16686.22
193,2012-03-31,shop_1,lemon-boost,plastic,14927,1.5lt,27082.55
194,2012-03-31,shop_1,lemon-boost,can,18032,330ml,10582.76
195,2012-03-31,shop_2,kinder-cola,glass,14321,500ml,16869.06
196,2012-03-31,shop_2,kinder-cola,plastic,11422,1.5lt,31062.46
197,2012-03-31,shop_2,kinder-cola,can,20461,330ml,13201.15
198,2012-03-31,shop_2,adult-cola,glass,14333,500ml,18965.84
199,2012-03-31,shop_2,adult-cola,plastic,15019,1.5lt,41046.0
200,2012-03-31,shop_2,adult-cola,can,22329,330ml,14879.71
201,2012-03-31,shop_2,orange-power,glass,37443,500ml,29439.4
202,2012-03-31,shop_2,orange-power,plastic,28770,1.5lt,41106.22
203,2012-03-31,shop_2,orange-power,can,37527,330ml,18836.31
204,2012-03-31,shop_2,gazoza,glass,45858,500ml,27122.49
205,2012-03-31,shop_2,gazoza,plastic,30527,1.5lt,29477.42
206,2012-03-31,shop_2,gazoza,can,65904,330ml,17546.11
207,2012-03-31,shop_2,lemon-boost,glass,24792,500ml,19867.48
208,2012-03-31,shop_2,lemon-boost,plastic,7657,1.5lt,21817.3
209,2012-03-31,shop_2,lemon-boost,can,34868,330ml,13678.37
210,2012-03-31,shop_6,kinder-cola,glass,13455,500ml,20415.81
211,2012-03-31,shop_6,kinder-cola,plastic,15703,1.5lt,39858.36
212,2012-03-31,shop_6,kinder-cola,can,15900,330ml,14291.3
213,2012-03-31,shop_6,adult-cola,glass,20640,500ml,29099.53
214,2012-03-31,shop_6,adult-cola,plastic,21964,1.5lt,54321.59
215,2012-03-31,shop_6,adult-cola,can,31895,330ml,23308.26
216,2012-03-31,shop_6,orange-power,glass,44807,500ml,32592.39
217,2012-03-31,shop_6,orange-power,plastic,30099,1.5lt,55260.51
218,2012-03-31,shop_6,orange-power,can,58697,330ml,25220.75
219,2012-03-31,shop_6,gazoza,glass,47949,500ml,30177.71
220,2012-03-31,shop_6,gazoza,plastic,37979,1.5lt,39286.27
221,2012-03-31,shop_6,gazoza,can,83074,330ml,22047.5
222,2012-03-31,shop_6,lemon-boost,glass,28679,500ml,26084.57
223,2012-03-31,shop_6,lemon-boost,plastic,24045,1.5lt,42593.41
224,2012-03-31,shop_6,lemon-boost,can,21266,330ml,14150.61
225,2012-03-31,shop_4,kinder-cola,glass,9557,500ml,15262.05
226,2012-03-31,shop_4,kinder-cola,plastic,8949,1.5lt,30996.98
227,2012-03-31,shop_4,kinder-cola,can,16093,330ml,12735.16
228,2012-03-31,shop_4,adult-cola,glass,29188,500ml,30800.39
229,2012-03-31,shop_4,adult-cola,plastic,21970,1.5lt,56077.63
230,2012-03-31,shop_4,adult-cola,can,22784,330ml,16454.89
231,2012-03-31,shop_4,orange-power,glass,54080,500ml,37798.54
232,2012-03-31,shop_4,orange-power,plastic,15560,1.5lt,34208.41
233,2012-03-31,shop_4,orange-power,can,61832,330ml,18820.44
234,2012-03-31,shop_4,gazoza,glass,59663,500ml,31902.97
235,2012-03-31,shop_4,gazoza,plastic,50316,1.5lt,30277.18
236,2012-03-31,shop_4,gazoza,can,61129,330ml,17828.4
237,2012-03-31,shop_4,lemon-boost,glass,12744,500ml,15564.77
238,2012-03-31,shop_4,lemon-boost,plastic,13874,1.5lt,32493.22
239,2012-03-31,shop_4,lemon-boost,can,24110,330ml,12237.86
240,2012-03-31,shop_3,kinder-cola,glass,10319,500ml,12817.03
241,2012-03-31,shop_3,kinder-cola,plastic,5045,1.5lt,18496.85
242,2012-03-31,shop_3,kinder-cola,can,10386,330ml,8266.46
243,2012-03-31,shop_3,adult-cola,glass,16239,500ml,17171.46
244,2012-03-31,shop_3,adult-cola,plastic,19424,1.5lt,16423.87
245,2012-03-31,shop_3,adult-cola,can,13152,330ml,10117.97
246,2012-03-31,shop_3,orange-power,glass,33568,500ml,19009.12
247,2012-03-31,shop_3,orange-power,plastic,21788,1.5lt,28240.7
248,2012-03-31,shop_3,orange-power,can,38019,330ml,10544.05
249,2012-03-31,shop_3,gazoza,glass,27346,500ml,16583.61
250,2012-03-31,shop_3,gazoza,plastic,33115,1.5lt,14754.13
251,2012-03-31,shop_3,gazoza,can,38321,330ml,11237.14
252,2012-03-31,shop_3,lemon-boost,glass,20219,500ml,14525.81
253,2012-03-31,shop_3,lemon-boost,plastic,13739,1.5lt,20071.73
254,2012-03-31,shop_3,lemon-boost,can,17351,330ml,9036.61
270,2012-04-30,shop_1,kinder-cola,glass,12234,500ml,16085.2
271,2012-04-30,shop_1,kinder-cola,plastic,9002,1.5lt,31801.39
272,2012-04-30,shop_1,kinder-cola,can,9881,330ml,9427.74
273,2012-04-30,shop_1,adult-cola,glass,19742,500ml,23713.29
274,2012-04-30,shop_1,adult-cola,plastic,18652,1.5lt,41780.7
275,2012-04-30,shop_1,adult-cola,can,20679,330ml,15422.85
276,2012-04-30,shop_1,orange-power,glass,48207,500ml,31877.82
277,2012-04-30,shop_1,orange-power,plastic,19557,1.5lt,36592.61
278,2012-04-30,shop_1,orange-power,can,47608,330ml,20191.77
279,2012-04-30,shop_1,gazoza,glass,52986,500ml,26401.21
280,2012-04-30,shop_1,gazoza,plastic,27350,1.5lt,30881.78
281,2012-04-30,shop_1,gazoza,can,54223,330ml,14706.58
282,2012-04-30,shop_1,lemon-boost,glass,19119,500ml,17709.91
283,2012-04-30,shop_1,lemon-boost,plastic,17780,1.5lt,22643.03
284,2012-04-30,shop_1,lemon-boost,can,51198,330ml,11154.92
285,2012-04-30,shop_2,kinder-cola,glass,19344,500ml,21399.98
286,2012-04-30,shop_2,kinder-cola,plastic,11857,1.5lt,39074.11
287,2012-04-30,shop_2,kinder-cola,can,22812,330ml,15032.56
288,2012-04-30,shop_2,adult-cola,glass,27765,500ml,30513.13
289,2012-04-30,shop_2,adult-cola,plastic,15893,1.5lt,44022.54
290,2012-04-30,shop_2,adult-cola,can,34570,330ml,22981.22
291,2012-04-30,shop_2,orange-power,glass,47998,500ml,34025.98
292,2012-04-30,shop_2,orange-power,plastic,20046,1.5lt,39456.01
293,2012-04-30,shop_2,orange-power,can,47135,330ml,22109.4
294,2012-04-30,shop_2,gazoza,glass,34618,500ml,22761.73
295,2012-04-30,shop_2,gazoza,plastic,37551,1.5lt,35064.81
296,2012-04-30,shop_2,gazoza,can,53114,330ml,18178.7
297,2012-04-30,shop_2,lemon-boost,glass,30300,500ml,25788.48
298,2012-04-30,shop_2,lemon-boost,plastic,16953,1.5lt,38276.24
299,2012-04-30,shop_2,lemon-boost,can,20697,330ml,12392.11
300,2012-04-30,shop_6,kinder-cola,glass,32238,500ml,29898.76
301,2012-04-30,shop_6,kinder-cola,plastic,17162,1.5lt,53960.91
302,2012-04-30,shop_6,kinder-cola,can,29499,330ml,20694.6
303,2012-04-30,shop_6,adult-cola,glass,26348,500ml,33690.56
304,2012-04-30,shop_6,adult-cola,plastic,27447,1.5lt,69792.43
305,2012-04-30,shop_6,adult-cola,can,49109,330ml,31941.48
306,2012-04-30,shop_6,orange-power,glass,73839,500ml,43768.87
307,2012-04-30,shop_6,orange-power,plastic,41523,1.5lt,66938.86
308,2012-04-30,shop_6,orange-power,can,68297,330ml,29269.4
309,2012-04-30,shop_6,gazoza,glass,71100,500ml,42897.62
310,2012-04-30,shop_6,gazoza,plastic,65679,1.5lt,49245.88
311,2012-04-30,shop_6,gazoza,can,80606,330ml,22902.45
312,2012-04-30,shop_6,lemon-boost,glass,34931,500ml,31061.67
313,2012-04-30,shop_6,lemon-boost,plastic,24885,1.5lt,52215.1
314,2012-04-30,shop_6,lemon-boost,can,38584,330ml,20099.24
315,2012-04-30,shop_4,kinder-cola,glass,14495,500ml,19221.84
316,2012-04-30,shop_4,kinder-cola,plastic,21118,1.5lt,40627.25
317,2012-04-30,shop_4,kinder-cola,can,22207,330ml,15635.72
318,2012-04-30,shop_4,adult-cola,glass,33708,500ml,38116.95
319,2012-04-30,shop_4,adult-cola,plastic,21831,1.5lt,57410.56
320,2012-04-30,shop_4,adult-cola,can,44550,330ml,25177.78
321,2012-04-30,shop_4,orange-power,glass,58620,500ml,38002.28
322,2012-04-30,shop_4,orange-power,plastic,36656,1.5lt,49309.53
323,2012-04-30,shop_4,orange-power,can,50809,330ml,22275.45
324,2012-04-30,shop_4,gazoza,glass,66331,500ml,37463.69
325,2012-04-30,shop_4,gazoza,plastic,39721,1.5lt,33584.11
326,2012-04-30,shop_4,gazoza,can,62442,330ml,19473.51
327,2012-04-30,shop_4,lemon-boost,glass,34872,500ml,24224.64
328,2012-04-30,shop_4,lemon-boost,plastic,17011,1.5lt,38339.2
329,2012-04-30,shop_4,lemon-boost,can,29981,330ml,18170.15
330,2012-04-30,shop_3,kinder-cola,glass,10271,500ml,13370.84
331,2012-04-30,shop_3,kinder-cola,plastic,9279,1.5lt,26014.33
332,2012-04-30,shop_3,kinder-cola,can,13451,330ml,12051.7
333,2012-04-30,shop_3,adult-cola,glass,16912,500ml,18345.43
334,2012-04-30,shop_3,adult-cola,plastic,10210,1.5lt,30261.91
335,2012-04-30,shop_3,adult-cola,can,11412,330ml,10012.74
336,2012-04-30,shop_3,orange-power,glass,22207,500ml,19747.92
337,2012-04-30,shop_3,orange-power,plastic,33684,1.5lt,21159.23
338,2012-04-30,shop_3,orange-power,can,43364,330ml,14206.05
339,2012-04-30,shop_3,gazoza,glass,34124,500ml,19504.37
340,2012-04-30,shop_3,gazoza,plastic,29264,1.5lt,22319.23
341,2012-04-30,shop_3,gazoza,can,33934,330ml,11374.92
342,2012-04-30,shop_3,lemon-boost,glass,23851,500ml,18470.21
343,2012-04-30,shop_3,lemon-boost,plastic,16494,1.5lt,29435.53
344,2012-04-30,shop_3,lemon-boost,can,18375,330ml,9066.31
360,2012-05-31,shop_1,kinder-cola,glass,22444,500ml,20856.11
361,2012-05-31,shop_1,kinder-cola,plastic,14585,1.5lt,40069.61
362,2012-05-31,shop_1,kinder-cola,can,21197,330ml,15238.67
363,2012-05-31,shop_1,adult-cola,glass,35489,500ml,31313.02
364,2012-05-31,shop_1,adult-cola,plastic,16576,1.5lt,39307.0
365,2012-05-31,shop_1,adult-cola,can,21227,330ml,16853.63
366,2012-05-31,shop_1,orange-power,glass,33615,500ml,30844.68
367,2012-05-31,shop_1,orange-power,plastic,18752,1.5lt,38795.48
368,2012-05-31,shop_1,orange-power,can,47160,330ml,19985.07
369,2012-05-31,shop_1,gazoza,glass,34211,500ml,22936.55
370,2012-05-31,shop_1,gazoza,plastic,36675,1.5lt,33638.13
371,2012-05-31,shop_1,gazoza,can,64702,330ml,17689.89
372,2012-05-31,shop_1,lemon-boost,glass,27931,500ml,18179.04
373,2012-05-31,shop_1,lemon-boost,plastic,9979,1.5lt,26721.13
374,2012-05-31,shop_1,lemon-boost,can,27252,330ml,16491.85
375,2012-05-31,shop_2,kinder-cola,glass,16387,500ml,22168.54
376,2012-05-31,shop_2,kinder-cola,plastic,18026,1.5lt,44883.06
377,2012-05-31,shop_2,kinder-cola,can,25923,330ml,18037.37
378,2012-05-31,shop_2,adult-cola,glass,28768,500ml,31069.08
379,2012-05-31,shop_2,adult-cola,plastic,23151,1.5lt,62057.42
380,2012-05-31,shop_2,adult-cola,can,41068,330ml,24446.41
381,2012-05-31,shop_2,orange-power,glass,42768,500ml,35667.96
382,2012-05-31,shop_2,orange-power,plastic,49332,1.5lt,45311.5
383,2012-05-31,shop_2,orange-power,can,66515,330ml,26668.41
384,2012-05-31,shop_2,gazoza,glass,72786,500ml,33608.12
385,2012-05-31,shop_2,gazoza,plastic,56600,1.5lt,44303.92
386,2012-05-31,shop_2,gazoza,can,83250,330ml,20009.16
387,2012-05-31,shop_2,lemon-boost,glass,23508,500ml,23001.85
388,2012-05-31,shop_2,lemon-boost,plastic,13543,1.5lt,35526.62
389,2012-05-31,shop_2,lemon-boost,can,36121,330ml,18295.03
390,2012-05-31,shop_6,kinder-cola,glass,32905,500ml,37370.92
391,2012-05-31,shop_6,kinder-cola,plastic,20557,1.5lt,61247.26
392,2012-05-31,shop_6,kinder-cola,can,30446,330ml,22239.98
393,2012-05-31,shop_6,adult-cola,glass,28775,500ml,38141.92
394,2012-05-31,shop_6,adult-cola,plastic,22397,1.5lt,68576.6
395,2012-05-31,shop_6,adult-cola,can,50641,330ml,33434.64
396,2012-05-31,shop_6,orange-power,glass,60877,500ml,49104.62
397,2012-05-31,shop_6,orange-power,plastic,71935,1.5lt,56908.77
398,2012-05-31,shop_6,orange-power,can,45262,330ml,26445.07
399,2012-05-31,shop_6,gazoza,glass,89074,500ml,45362.85
400,2012-05-31,shop_6,gazoza,plastic,73635,1.5lt,51742.06
401,2012-05-31,shop_6,gazoza,can,126691,330ml,29879.35
402,2012-05-31,shop_6,lemon-boost,glass,37742,500ml,34485.98
403,2012-05-31,shop_6,lemon-boost,plastic,26385,1.5lt,55803.62
404,2012-05-31,shop_6,lemon-boost,can,37875,330ml,22990.33
405,2012-05-31,shop_4,kinder-cola,glass,19858,500ml,27538.17
406,2012-05-31,shop_4,kinder-cola,plastic,14075,1.5lt,41895.22
407,2012-05-31,shop_4,kinder-cola,can,20974,330ml,18254.51
408,2012-05-31,shop_4,adult-cola,glass,23515,500ml,31621.56
409,2012-05-31,shop_4,adult-cola,plastic,22499,1.5lt,63513.81
410,2012-05-31,shop_4,adult-cola,can,29324,330ml,22453.53
411,2012-05-31,shop_4,orange-power,glass,56101,500ml,39851.63
412,2012-05-31,shop_4,orange-power,plastic,43937,1.5lt,66342.22
413,2012-05-31,shop_4,orange-power,can,56090,330ml,27052.48
414,2012-05-31,shop_4,gazoza,glass,52364,500ml,31711.71
415,2012-05-31,shop_4,gazoza,plastic,73778,1.5lt,31018.39
416,2012-05-31,shop_4,gazoza,can,86675,330ml,23009.04
417,2012-05-31,shop_4,lemon-boost,glass,29784,500ml,28199.72
418,2012-05-31,shop_4,lemon-boost,plastic,22286,1.5lt,46584.49
419,2012-05-31,shop_4,lemon-boost,can,33824,330ml,20557.17
420,2012-05-31,shop_3,kinder-cola,glass,7023,500ml,11175.52
421,2012-05-31,shop_3,kinder-cola,plastic,9988,1.5lt,31372.15
422,2012-05-31,shop_3,kinder-cola,can,9062,330ml,8618.28
423,2012-05-31,shop_3,adult-cola,glass,24184,500ml,24459.25
424,2012-05-31,shop_3,adult-cola,plastic,13975,1.5lt,38358.83
425,2012-05-31,shop_3,adult-cola,can,22108,330ml,16292.58
426,2012-05-31,shop_3,orange-power,glass,51145,500ml,21896.4
427,2012-05-31,shop_3,orange-power,plastic,24141,1.5lt,32320.6
428,2012-05-31,shop_3,orange-power,can,38188,330ml,15720.15
429,2012-05-31,shop_3,gazoza,glass,55426,500ml,24352.76
430,2012-05-31,shop_3,gazoza,plastic,31466,1.5lt,29009.36
431,2012-05-31,shop_3,gazoza,can,66656,330ml,13519.61
432,2012-05-31,shop_3,lemon-boost,glass,17869,500ml,16033.62
433,2012-05-31,shop_3,lemon-boost,plastic,18308,1.5lt,33000.2
434,2012-05-31,shop_3,lemon-boost,can,28404,330ml,9734.29
450,2012-06-30,shop_1,kinder-cola,glass,26725,500ml,22530.2
451,2012-06-30,shop_1,kinder-cola,plastic,8949,1.5lt,34129.53
452,2012-06-30,shop_1,kinder-cola,can,26492,330ml,14918.28
453,2012-06-30,shop_1,adult-cola,glass,18512,500ml,24259.32
454,2012-06-30,shop_1,adult-cola,plastic,29408,1.5lt,44136.64
455,2012-06-30,shop_1,adult-cola,can,35499,330ml,22569.7
456,2012-06-30,shop_1,orange-power,glass,42218,500ml,33009.82
457,2012-06-30,shop_1,orange-power,plastic,12663,1.5lt,30985.9
458,2012-06-30,shop_1,orange-power,can,66269,330ml,22818.81
459,2012-06-30,shop_1,gazoza,glass,60876,500ml,32682.68
460,2012-06-30,shop_1,gazoza,plastic,29018,1.5lt,36648.17
461,2012-06-30,shop_1,gazoza,can,69978,330ml,20682.93
462,2012-06-30,shop_1,lemon-boost,glass,28187,500ml,23997.06
463,2012-06-30,shop_1,lemon-boost,plastic,13487,1.5lt,33218.4
464,2012-06-30,shop_1,lemon-boost,can,32489,330ml,16120.15
465,2012-06-30,shop_2,kinder-cola,glass,18822,500ml,26615.27
